Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1779508349,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1779508350,50,,Aggregated,0.000000,0.000000,660,760,880,880,890,890,910,910,910,910,910,67,0,660,642.3006915973209,270.2549590030685,906.4832500007469,15.0
1779508351,50,,Aggregated,0.000000,0.000000,330,390,570,640,870,890,890,910,910,910,910,186,0,330,428.79326592466447,188.28904199472163,906.4832500007469,15.0
1779508352,50,,Aggregated,5.000000,0.000000,340,380,390,470,680,880,890,890,910,910,910,318,0,330,389.17937619815166,159.39245899789967,906.4832500007469,15.0
1779508353,50,,Aggregated,57.500000,0.000000,320,350,380,390,570,760,890,890,910,910,910,474,0,320,358.9391222953139,159.39245899789967,906.4832500007469,15.0
1779508354,50,,Aggregated,78.666667,0.000000,320,370,390,480,630,760,890,890,910,910,910,556,0,320,372.52365484884075,159.39245899789967,906.4832500007469,15.0
1779508355,50,,Aggregated,93.500000,0.000000,320,370,390,450,580,650,880,890,910,910,910,689,0,320,364.5848990869887,159.39245899789967,906.4832500007469,15.0
1779508356,50,,Aggregated,99.400000,0.000000,320,360,390,420,530,640,880,890,910,910,910,853,0,320,351.2012636470891,90.92783300002338,906.4832500007469,15.037514654161782
1779508357,50,,Aggregated,102.833333,0.000000,320,370,390,450,540,630,860,890,910,910,910,975,0,320,355.26696185538106,90.92783300002338,906.4832500007469,15.04923076923077
1779508358,50,,Aggregated,109.714286,0.000000,330,390,420,450,530,630,860,890,910,910,910,1085,0,330,359.72332908938375,90.92783300002338,906.4832500007469,15.044239631336406
1779508359,50,,Aggregated,110.625000,0.000000,340,390,420,450,530,620,760,890,910,910,910,1195,0,340,359.87618164019074,90.92783300002338,906.4832500007469,15.040167364016737
1779508360,50,,Aggregated,111.333333,0.000000,340,390,420,450,530,610,760,880,910,910,910,1305,0,340,363.2910670321863,90.92783300002338,906.4832500007469,15.036781609195403
1779508361,50,,Aggregated,112.700000,0.000000,350,390,440,460,530,610,700,880,910,910,910,1419,0,350,366.10045734600726,90.92783300002338,906.4832500007469,15.033826638477802
1779508362,50,,Aggregated,122.600000,0.000000,350,390,420,450,520,600,680,880,910,910,910,1552,0,350,362.39376896260546,90.92783300002338,906.4832500007469,15.041237113402062
1779508363,50,,Aggregated,122.700000,0.000000,340,390,410,440,510,570,650,880,910,910,910,1713,0,340,353.66508776938406,90.92783300002338,906.4832500007469,15.037361354349095
